Dataset,Experiment,Seed,N,MMD,RF Acc
4-chain-linear,10,51,50,0.01714,0.7
4-chain-linear,1,42,100,0.02229,0.65
4-chain-linear,2,43,100,0.01345,0.575
4-chain-linear,3,44,100,0.00914,0.5
4-chain-linear,4,45,100,0.04935,0.65
4-chain-linear,5,46,100,0.01836,0.525
4-chain-linear,6,47,100,0.0154,0.625
4-chain-linear,7,48,100,0.01989,0.65
4-chain-linear,8,49,100,0.02855,0.7
4-chain-linear,9,50,100,0.02407,0.575
4-chain-linear,10,51,100,0.03957,0.65
5-chain-linear,1,42,50,0.01985,0.775
5-chain-linear,2,43,50,0.03611,0.525
5-chain-linear,3,44,50,0.02736,0.65
5-chain-linear,4,45,50,0.02073,0.825
5-chain-linear,5,46,50,0.01426,0.8
5-chain-linear,6,47,50,0.03475,0.85
5-chain-linear,7,48,50,0.02871,0.7
5-chain-linear,8,49,50,0.0404,0.8
5-chain-linear,9,50,50,0.02014,0.675
5-chain-linear,10,51,50,0.04522,0.85
5-chain-linear,1,42,100,0.01391,0.625
5-chain-linear,2,43,100,0.02766,0.625
5-chain-linear,3,44,100,0.01561,0.725
5-chain-linear,4,45,100,0.03545,0.75
5-chain-linear,5,46,100,0.02726,0.7
5-chain-linear,6,47,100,0.02511,0.675
5-chain-linear,7,48,100,0.01817,0.65
5-chain-linear,8,49,100,0.01246,0.775
5-chain-linear,9,50,100,0.00796,0.575
5-chain-linear,10,51,100,0.03604,0.7
collider-linear,1,42,50,0.0157,0.575
collider-linear,2,43,50,0.01771,0.575
collider-linear,3,44,50,0.01275,0.6
collider-linear,4,45,50,0.0278,0.725
collider-linear,5,46,50,0.02767,0.625
collider-linear,6,47,50,0.03365,0.7
collider-linear,7,48,50,0.00954,0.525
collider-linear,8,49,50,0.01804,0.55
collider-linear,9,50,50,0.02565,0.575
collider-linear,10,51,50,0.03117,0.65
collider-linear,1,42,100,0.03254,0.525
collider-linear,2,43,100,0.04295,0.5
collider-linear,3,44,100,0.00902,0.575
collider-linear,4,45,100,0.01893,0.525
collider-linear,5,46,100,0.01812,0.55
collider-linear,6,47,100,0.01789,0.575
collider-linear,7,48,100,0.02049,0.625
collider-linear,8,49,100,0.017,0.5
collider-linear,9,50,100,0.01822,0.55
collider-linear,10,51,100,0.0125,0.55
fork-linear,1,42,50,0.02359,0.75
fork-linear,2,43,50,0.00864,0.575
fork-linear,3,44,50,0.01122,0.575
fork-linear,4,45,50,0.03488,0.725
fork-linear,5,46,50,0.01502,0.575
fork-linear,6,47,50,0.02955,0.725
fork-linear,7,48,50,0.02611,0.625
fork-linear,8,49,50,0.02665,0.75
fork-linear,9,50,50,0.02852,0.7
fork-linear,10,51,50,0.01897,0.675
fork-linear,1,42,100,0.00999,0.55
fork-linear,2,43,100,0.01127,0.525
fork-linear,3,44,100,0.01836,0.55
fork-linear,4,45,100,0.00973,0.5
fork-linear,5,46,100,0.00967,0.55
fork-linear,6,47,100,0.00845,0.6
fork-linear,7,48,100,0.02174,0.675
fork-linear,8,49,100,0.01076,0.725
fork-linear,9,50,100,0.01786,0.7
fork-linear,10,51,100,0.03081,0.5
fork-non-linear,1,42,50,0.02721,0.75
fork-non-linear,2,43,50,0.01544,0.625
fork-non-linear,3,44,50,0.02106,0.75
fork-non-linear,4,45,50,0.04948,0.775
fork-non-linear,5,46,50,0.01051,0.55
fork-non-linear,6,47,50,0.04668,0.675
fork-non-linear,7,48,50,0.01081,0.65
fork-non-linear,8,49,50,0.03885,0.85
fork-non-linear,9,50,50,0.02358,0.65
fork-non-linear,10,51,50,0.03058,0.7
fork-non-linear,1,42,100,0.0228,0.6
fork-non-linear,2,43,100,0.01965,0.575
fork-non-linear,3,44,100,0.01859,0.65
fork-non-linear,4,45,100,0.01373,0.525
fork-non-linear,5,46,100,0.02414,0.55
fork-non-linear,6,47,100,0.01092,0.55
fork-non-linear,7,48,100,0.03019,0.775
fork-non-linear,8,49,100,0.03978,0.825
fork-non-linear,9,50,100,0.02413,0.7
fork-non-linear,10,51,100,0.03143,0.65
simpson-non-linear,1,42,50,0.02304,0.725
simpson-non-linear,2,43,50,0.01294,0.55
simpson-non-linear,3,44,50,0.00992,0.525
simpson-non-linear,4,45,50,0.05161,0.875
simpson-non-linear,5,46,50,0.02168,0.575
simpson-non-linear,6,47,50,0.02153,0.675
simpson-non-linear,7,48,50,0.01578,0.6
simpson-non-linear,8,49,50,0.02879,0.625
simpson-non-linear,9,50,50,0.03317,0.75
simpson-non-linear,10,51,50,0.029,0.675
simpson-non-linear,1,42,100,0.02878,0.5
simpson-non-linear,2,43,100,0.01521,0.525
simpson-non-linear,3,44,100,0.0223,0.575
simpson-non-linear,4,45,100,0.02201,0.6
simpson-non-linear,5,46,100,0.00953,0.5
simpson-non-linear,6,47,100,0.01493,0.575
simpson-non-linear,7,48,100,0.04942,0.5
simpson-non-linear,8,49,100,0.02628,0.575
simpson-non-linear,9,50,100,0.03601,0.525
simpson-non-linear,10,51,100,0.03883,0.625
simpson-symprod,1,42,50,0.01767,0.675
simpson-symprod,2,43,50,0.01464,0.65
simpson-symprod,3,44,50,0.00866,0.575
simpson-symprod,4,45,50,0.03043,0.75
simpson-symprod,5,46,50,0.01979,0.75
simpson-symprod,6,47,50,0.03063,0.625
simpson-symprod,7,48,50,0.02632,0.75
simpson-symprod,8,49,50,0.02586,0.725
simpson-symprod,9,50,50,0.0212,0.65
simpson-symprod,10,51,50,0.02379,0.625
simpson-symprod,1,42,100,0.01657,0.5
simpson-symprod,2,43,100,0.01143,0.7
simpson-symprod,3,44,100,0.0186,0.65
simpson-symprod,4,45,100,0.02116,0.625
simpson-symprod,5,46,100,0.01303,0.6
simpson-symprod,6,47,100,0.01142,0.575
simpson-symprod,7,48,100,0.01376,0.6
simpson-symprod,8,49,100,0.02418,0.7
simpson-symprod,9,50,100,0.00975,0.5
simpson-symprod,10,51,100,0.0271,0.575
triangle-linear,1,42,50,0.02093,0.775
triangle-linear,2,43,50,0.02416,0.675
triangle-linear,3,44,50,0.03445,0.7
triangle-linear,4,45,50,0.04984,0.85
triangle-linear,5,46,50,0.03248,0.775
triangle-linear,6,47,50,0.02765,0.675
triangle-linear,7,48,50,0.03605,0.725
triangle-linear,8,49,50,0.04058,0.75
triangle-linear,9,50,50,0.01715,0.75
triangle-linear,10,51,50,0.04379,0.775
triangle-linear,1,42,100,0.02599,0.725
triangle-linear,2,43,100,0.01286,0.675
triangle-linear,3,44,100,0.01061,0.625
triangle-linear,4,45,100,0.01303,0.675
triangle-linear,5,46,100,0.01323,0.525
triangle-linear,6,47,100,0.0401,0.75
triangle-linear,7,48,100,0.01831,0.7
triangle-linear,8,49,100,0.00836,0.55
triangle-linear,9,50,100,0.05082,0.675
triangle-linear,10,51,100,0.01492,0.6
triangle-non-linear,1,42,50,0.05203,0.9
triangle-non-linear,2,43,50,0.01484,0.575
triangle-non-linear,3,44,50,0.01347,0.65
triangle-non-linear,4,45,50,0.09844,0.9
triangle-non-linear,5,46,50,0.03584,0.75
triangle-non-linear,6,47,50,0.0425,0.725
triangle-non-linear,7,48,50,0.00796,0.675
triangle-non-linear,8,49,50,0.03988,0.8
triangle-non-linear,9,50,50,0.03014,0.8
triangle-non-linear,10,51,50,0.02908,0.825
triangle-non-linear,1,42,100,0.01806,0.6
triangle-non-linear,2,43,100,0.01114,0.725
triangle-non-linear,3,44,100,0.00811,0.75
triangle-non-linear,4,45,100,0.019,0.675
triangle-non-linear,5,46,100,0.02465,0.55
triangle-non-linear,6,47,100,0.02868,0.625
triangle-non-linear,7,48,100,0.03864,0.675
triangle-non-linear,8,49,100,0.01168,0.55
triangle-non-linear,9,50,100,0.02908,0.525
triangle-non-linear,10,51,100,0.02727,0.725
